科目,总分A,单科A-100,单科A-150,总分B,单科B-100,单科B-150
哲学,295,40,60,285,38,57
经济学,350,55,83,340,53,80
法学,325,45,68,315,43,65
教育学(不含体育学),305,40,120,295,38,114
文学(不含艺术学),355,55,83,345,53,80
历史学,295,40,120,285,38,114
理学,295,40,60,285,38,57
工学(不含照顾专业),300,40,60,290,38,57
农学,260,35,53,250,33,50
医学(不含中医学),300,40,120,290,38,114
军事学,310,45,68,300,43,65
管理学,350,55,83,340,53,80
体育学,270,35,105,260,33,99
艺术学,320,35,53,310,33,50
中医学,270,35,105,260,33,99
工学照顾专业（一级学科）*,280,40,60,270,38,57
享受少数民族政策的考生*,240,30,45,240,30,45
