科目,总分A,单科A-100,单科A-150,总分B,单科B-100,单科B-150
金融、应用统计、税务、国际商务、保险、 资产评估,330,45,68,320,42,63.0
审计,160,40,80,150,35,70.0
法律(非法学)、法律(法学)、社会工作、警 务,300,42,63,290,39,59.0
教育、汉语国际教育,320,44,66,310,41,62.0
应用心理,320,44,132,310,41,123.0
体育,265,34,102,255,31,93.0
翻译、新闻与传播、出版,345,52,78,335,49,74.0
文物与博物馆,300,42,126,290,39,117.0
建筑学、工程(不含工程照顾专业)、城市规 划,280,38,57,270,35,53.0
农业推广、兽医、风景园林、林业,255,34,51,245,31,47.0
临床医学(不含中医类照顾专业)、口腔医学、公共卫生、护理、药学、中药学,285,39,117,275,36,108.0
工商管理、公共管理、会计、旅游管理、图书情报、工程管理,160,40,80,150,35,70.0
艺术,325,34,51,315,31,47.0
工程照顾专业*,275,36,54,265,33,50.0
临床医学中医类照顾专业*,285,38,114,275,35,105.0
享受少数民族政策的考生*,245,30,45,245,30,45.0
