,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
58,"Wed, Oct 25, 2017",8:00p,San Antonio Spurs,117,Miami Heat,100,Box Score,,19600,
59,"Wed, Oct 25, 2017",8:00p,Indiana Pacers,96,Oklahoma City Thunder,114,Box Score,,18203,
60,"Wed, Oct 25, 2017",8:30p,Memphis Grizzlies,94,Dallas Mavericks,103,Box Score,,19674,
61,"Wed, Oct 25, 2017",10:00p,Utah Jazz,88,Phoenix Suns,97,Box Score,,16022,
62,"Wed, Oct 25, 2017",10:30p,Toronto Raptors,112,Golden State Warriors,117,Box Score,,19596,
63,"Wed, Oct 25, 2017",10:30p,Washington Wizards,99,Los Angeles Lakers,102,Box Score,OT,18996,
64,"Thu, Oct 26, 2017",8:00p,Atlanta Hawks,86,Chicago Bulls,91,Box Score,,21104,
65,"Thu, Oct 26, 2017",8:00p,Dallas Mavericks,91,Memphis Grizzlies,96,Box Score,,15839,
66,"Thu, Oct 26, 2017",8:00p,Boston Celtics,96,Milwaukee Bucks,89,Box Score,,11046,
67,"Thu, Oct 26, 2017",10:00p,Los Angeles Clippers,104,Portland Trail Blazers,103,Box Score,,18694,
68,"Thu, Oct 26, 2017",10:30p,New Orleans Pelicans,114,Sacramento Kings,106,Box Score,,17583,
69,"Fri, Oct 27, 2017",7:00p,Houston Rockets,109,Charlotte Hornets,93,Box Score,,17339,
70,"Fri, Oct 27, 2017",7:00p,San Antonio Spurs,87,Orlando Magic,114,Box Score,,17337,
71,"Fri, Oct 27, 2017",7:30p,Denver Nuggets,105,Atlanta Hawks,100,Box Score,,16220,
72,"Fri, Oct 27, 2017",7:30p,Brooklyn Nets,86,New York Knicks,107,Box Score,,19812,
73,"Fri, Oct 27, 2017",8:00p,Oklahoma City Thunder,116,Minnesota Timberwolves,119,Box Score,,17620,
74,"Fri, Oct 27, 2017",10:30p,Washington Wizards,117,Golden State Warriors,120,Box Score,,19596,
75,"Fri, Oct 27, 2017",10:30p,Toronto Raptors,101,Los Angeles Lakers,92,Box Score,,17876,
76,"Sat, Oct 28, 2017",7:00p,Cleveland Cavaliers,101,New Orleans Pelicans,123,Box Score,,18539,
77,"Sat, Oct 28, 2017",8:00p,Oklahoma City Thunder,101,Chicago Bulls,69,Box Score,,21706,
78,"Sat, Oct 28, 2017",8:00p,Houston Rockets,89,Memphis Grizzlies,103,Box Score,,17033,
79,"Sat, Oct 28, 2017",8:00p,Boston Celtics,96,Miami Heat,90,Box Score,,19600,
80,"Sat, Oct 28, 2017",8:30p,Philadelphia 76ers,112,Dallas Mavericks,110,Box Score,,19567,
81,"Sat, Oct 28, 2017",9:00p,Los Angeles Lakers,81,Utah Jazz,96,Box Score,,18306,
82,"Sat, Oct 28, 2017",10:00p,Phoenix Suns,107,Portland Trail Blazers,114,Box Score,,19343,
83,"Sat, Oct 28, 2017",10:30p,Detroit Pistons,95,Los Angeles Clippers,87,Box Score,,17247,
84,"Sun, Oct 29, 2017",3:30p,Milwaukee Bucks,117,Atlanta Hawks,106,Box Score,,14014,
85,"Sun, Oct 29, 2017",4:30p,San Antonio Spurs,94,Indiana Pacers,97,Box Score,,15013,
86,"Sun, Oct 29, 2017",6:00p,Denver Nuggets,124,Brooklyn Nets,111,Box Score,,14854,
87,"Sun, Oct 29, 2017",6:00p,Orlando Magic,113,Charlotte Hornets,120,Box Score,,15531,
88,"Sun, Oct 29, 2017",6:00p,Washington Wizards,110,Sacramento Kings,83,Box Score,,17583,
89,"Sun, Oct 29, 2017",7:00p,New York Knicks,114,Cleveland Cavaliers,95,Box Score,,20562,
90,"Sun, Oct 29, 2017",8:30p,Detroit Pistons,115,Golden State Warriors,107,Box Score,,19596,
91,"Mon, Oct 30, 2017",7:30p,San Antonio Spurs,94,Boston Celtics,108,Box Score,,18624,
92,"Mon, Oct 30, 2017",7:30p,Minnesota Timberwolves,125,Miami Heat,122,Box Score,OT,19600,
93,"Mon, Oct 30, 2017",7:30p,Denver Nuggets,110,New York Knicks,116,Box Score,,19812,
94,"Mon, Oct 30, 2017",8:00p,Philadelphia 76ers,115,Houston Rockets,107,Box Score,,16714,
95,"Mon, Oct 30, 2017",8:00p,Charlotte Hornets,104,Memphis Grizzlies,99,Box Score,,15771,
96,"Mon, Oct 30, 2017",8:00p,Orlando Magic,115,New Orleans Pelicans,99,Box Score,,14004,
97,"Mon, Oct 30, 2017",9:00p,Dallas Mavericks,89,Utah Jazz,104,Box Score,,16221,
98,"Mon, Oct 30, 2017",10:00p,Toronto Raptors,99,Portland Trail Blazers,85,Box Score,,18505,
99,"Mon, Oct 30, 2017",10:30p,Golden State Warriors,141,Los Angeles Clippers,113,Box Score,,19068,
100,"Tue, Oct 31, 2017",7:00p,Sacramento Kings,83,Indiana Pacers,101,Box Score,,12245,
101,"Tue, Oct 31, 2017",7:30p,Phoenix Suns,122,Brooklyn Nets,114,Box Score,,12936,
102,"Tue, Oct 31, 2017",8:00p,Oklahoma City Thunder,110,Milwaukee Bucks,91,Box Score,,16713,
103,"Tue, Oct 31, 2017",10:30p,Detroit Pistons,93,Los Angeles Lakers,113,Box Score,,17569,
